변수명,F값,p값,Cramers_V,검정타입
인입일수_ARS_R6M,3349.570956,0,,ANOVA
방문횟수_PC_B0M,2041.02362,0,,ANOVA
방문일수_PC_B0M,2100.404422,0,,ANOVA
방문월수_모바일웹_R6M,599.6065658,0,,ANOVA
방문월수_PC_R6M,2788.63409,0,,ANOVA
IB문의건수_선결제_B0M,366.2425797,2.14124685e-315,,ANOVA
IB문의건수_카드발급_R6M,357.4347439,8.77E-308,,ANOVA
IB문의건수_분실도난_R6M,322.1079166,3.01E-277,,ANOVA
방문후경과월_모바일웹_R6M,321.2882951,1.54E-276,,ANOVA
IB문의건수_결제_R6M,141.9015322,1.94E-121,,ANOVA
IB문의건수_정보변경_R6M,98.20833218,1.08E-83,,ANOVA
IB문의건수_CA_R6M,89.72515101,2.27E-76,,ANOVA
IB문의건수_한도_R6M,61.62956334,3.80E-52,,ANOVA
IB문의건수_CL_RV_R6M,30.71910251,1.31E-25,,ANOVA
IB문의건수_CS_R6M,26.03736593,1.29E-21,,ANOVA
IB문의건수_BL_R6M,24.81583939,1.42E-20,,ANOVA
IB문의건수_사용승인내역_B0M,23.15603278,3.67E-19,,ANOVA
IB문의건수_CS_B0M,20.98669925,2.55E-17,,ANOVA
IB문의건수_결제일변경_R6M,15.15402506,2.16E-12,,ANOVA
IB문의건수_SMS_R6M,11.94295238,1.05E-09,,ANOVA
IB문의건수_할부_R6M,5.643329892,0.000154105,,ANOVA
IB문의건수_CL_RV_B0M,4.772833957,0.000754264,,ANOVA
IB문의건수_포인트_R6M,4.452716632,0.001343884,,ANOVA
IB문의건수_비밀번호_R6M,4.271000445,0.001861908,,ANOVA
방문일수_모바일웹_B0M,2.640690675,0.031944863,,ANOVA
방문횟수_모바일웹_B0M,2.453937063,0.043650164,,ANOVA
IB문의건수_부대서비스_R6M,1.056871203,0.376095168,,ANOVA
IB문의건수_카드발급_B0M,0.310832827,0.870913971,,ANOVA
방문횟수_앱_B0M,2531.79359,0,,ANOVA
방문일수_앱_B0M,2500.888868,0,,ANOVA
방문횟수_모바일웹_R6M,602.8334785,0,,ANOVA
인입후경과월_ARS,415.370295,0,,ANOVA
인입월수_IB_R6M,2809.754931,0,,ANOVA
이용메뉴건수_IB_R6M,2493.827199,0,,ANOVA
인입후경과월_IB_R6M,2257.433582,0,,ANOVA
인입횟수_IB_B0M,839.2117169,0,,ANOVA
인입일수_IB_B0M,790.8522655,0,,ANOVA
이용메뉴건수_IB_B0M,775.8430957,0,,ANOVA
상담건수_B0M,839.3844154,0,,ANOVA
홈페이지_금융건수_R3M,2745.598672,0,,ANOVA
상담건수_R6M,2640.268077,0,,ANOVA
IB문의건수_사용승인내역_R6M,1516.257445,0,,ANOVA
IB문의건수_선결제_R6M,1370.179606,0,,ANOVA
불만제기후경과월_R12M,3316.407169,0,,ANOVA
방문일수_모바일웹_R6M,583.6354781,0,,ANOVA
당사멤버쉽_방문횟수_R6M,1046.330269,0,,ANOVA
당사멤버쉽_방문횟수_B0M,949.4342863,0,,ANOVA
홈페이지_금융건수_R6M,3411.134806,0,,ANOVA
방문후경과월_앱_R6M,2901.942726,0,,ANOVA
인입월수_ARS_R6M,3192.749539,0,,ANOVA
인입일수_ARS_B0M,1634.028078,0,,ANOVA
당사멤버쉽_방문월수_R6M,1890.17293,0,,ANOVA
방문후경과월_PC_R6M,3597.3708,0,,ANOVA
인입횟수_ARS_B0M,1321.276948,0,,ANOVA
방문월수_앱_R6M,2747.862629,0,,ANOVA
방문일수_앱_R6M,2418.169879,0,,ANOVA
홈페이지_선결제건수_R3M,2353.774365,0,,ANOVA
인입횟수_IB_R6M,2643.341688,0,,ANOVA
인입일수_IB_R6M,2794.08718,0,,ANOVA
홈페이지_선결제건수_R6M,2520.441368,0,,ANOVA
이용메뉴건수_ARS_B0M,1308.262738,0,,ANOVA
방문횟수_PC_R6M,,,0.073536601,CramersV
인입횟수_ARS_R6M,,,0.110708039,CramersV
이용메뉴건수_ARS_R6M,,,0.109692395,CramersV
방문일수_PC_R6M,,,0.080878187,CramersV
방문횟수_앱_R6M,,,0.073706362,CramersV
OS구분코드,,,0.032468967,CramersV
,,,,
"*ANOVA는 숫자열 칼럼, CramersV는 문자열(범주형) 칼럼을 분석한 것",,,,
